zip_code,latitude,longitude,city,state,county,community,estimated median income
90405.0,33.786594,-118.29866200000001,Santa Monica,CA,Los Angeles,"Santa Monica (Ocean Park, Santa Monica Airport, Sunpark)","$94,446 "
90501.0,33.835665000000006,-118.30380500000001,Torrance,CA,Los Angeles,Torrance,"$70,671 "
90502.0,33.833816,-118.293405,Torrance,CA,Los Angeles,"Torrance, West Carson","$69,824 "
90503.0,33.786594,-118.29866200000001,Torrance,CA,Los Angeles,Torrance,"$90,102 "
90504.0,33.786594,-118.29866200000001,Torrance,CA,Los Angeles,Torrance,"$86,563 "
90505.0,33.786594,-118.29866200000001,Torrance,CA,Los Angeles,Torrance,"$96,827 "
90601.0,34.004311,-118.0441,Whittier,CA,Los Angeles,"City of Industry, Whittier","$74,296 "
90602.0,33.971839,-118.036578,Whittier,CA,Los Angeles,Whittier,"$51,237 "
90603.0,33.947371999999994,-117.995297,Whittier,CA,Los Angeles,Whittier,"$98,181 "
90604.0,33.932663,-118.00908500000001,Whittier,CA,Los Angeles,"East La Mirada, South Whittier, Whittier","$70,877 "
90605.0,33.944312,-118.017424,Whittier,CA,Los Angeles,"South Whittier, Whittier","$75,575 "
90606.0,33.967162,-118.036999,Whittier,CA,Los Angeles,"Los Nietos, West Whittier","$70,640 "
90638.0,33.900863,-118.007297,La Mirada,CA,Los Angeles,La Mirada,"$87,429 "
90640.0,33.786594,-118.29866200000001,Montebello,CA,Los Angeles,Montebello,"$53,615 "
90650.0,33.906763,-118.076549,Norwalk,CA,Los Angeles,Norwalk,"$66,453 "
90660.0,33.985812,-118.08878700000001,Pico Rivera,CA,Los Angeles,Pico Rivera,"$65,617 "
90670.0,33.927063000000004,-118.063698,Santa Fe Springs,CA,Los Angeles,Santa Fe Springs,"$67,500 "
90701.0,33.865395,-118.073148,Artesia,CA,Los Angeles,Artesia,"$63,792 "
90703.0,33.866914,-118.068648,Cerritos,CA,Los Angeles,Cerritos,"$98,934 "
90704.0,33.786594,-118.29866200000001,Avalon,CA,Los Angeles,"Avalon, Santa Catalina Island","$69,828 "
90706.0,33.888014,-118.12965,Bellflower,CA,Los Angeles,Bellflower,"$55,729 "
90710.0,33.791267,-118.251554,Harbor City,CA,Los Angeles,Los Angeles (Harbor City),"$59,817 "
90712.0,33.845624,-118.14645,Lakewood,CA,Los Angeles,Lakewood,"$91,242 "
90713.0,33.850465,-118.109399,Lakewood,CA,Los Angeles,Lakewood,"$100,132 "
90715.0,33.840565000000005,-118.078748,Lakewood,CA,Los Angeles,Lakewood,"$72,616 "
90716.0,33.830967,-118.072796,Hawaiian Gardens,CA,Los Angeles,Hawaiian Gardens,"$45,150 "
90717.0,33.786594,-118.29866200000001,Lomita,CA,Los Angeles,Lomita,"$69,150 "
90723.0,33.899015000000006,-118.165152,Paramount,CA,Los Angeles,Paramount,"$53,031 "
90731.0,33.753088,-118.25305300000001,San Pedro,CA,Los Angeles,"Los Angeles (San Pedro, Terminal Island)","$51,161 "
90732.0,33.786594,-118.29866200000001,San Pedro,CA,Los Angeles,"Los Angeles (San Pedro), Rancho Palos Verdes","$99,519 "
90744.0,33.779416999999995,-118.253853,Wilmington,CA,Los Angeles,Los Angeles (Wilmington),"$47,776 "
90745.0,33.813317,-118.261154,Carson,CA,Los Angeles,Carson,"$76,551 "
90746.0,33.859716,-118.255204,Carson,CA,Los Angeles,Carson,"$84,523 "
90802.0,33.756024,-118.201101,Long Beach,CA,Los Angeles,Long Beach,"$53,358 "
90803.0,33.759885,-118.13016,Long Beach,CA,Los Angeles,"Long Beach (Belmont Shore, Marina, Naples)","$87,870 "
90804.0,33.785666,-118.135699,Long Beach,CA,Los Angeles,Long Beach (East Long Beach),"$49,860 "
90805.0,33.838815000000004,-118.1576,Long Beach,CA,Los Angeles,Long Beach (North Long Beach),"$49,370 "
90806.0,33.795016,-118.172801,Long Beach,CA,Los Angeles,Long Beach,"$49,962 "
90807.0,33.831466,-118.181102,Long Beach,CA,Los Angeles,Long Beach (Bixby Knolls),"$77,488 "
90808.0,33.800266,-118.106132,Long Beach,CA,Los Angeles,Long Beach,"$109,918 "
90810.0,33.819266,-118.232453,Long Beach,CA,Los Angeles,"Carson, Dominguez, Long Beach","$58,095 "
90813.0,33.780017,-118.183701,Long Beach,CA,Los Angeles,Long Beach,"$36,075 "
90814.0,33.771301,-118.14265400000001,Long Beach,CA,Los Angeles,Long Beach,"$69,867 "
90815.0,33.793516,-118.11461200000001,Long Beach,CA,Los Angeles,Long Beach,"$88,710 "
91001.0,33.786594,-118.29866200000001,Altadena,CA,Los Angeles,Altadena,"$98,289 "
91006.0,33.786594,-118.29866200000001,Arcadia,CA,Los Angeles,Arcadia,"$100,730 "
91007.0,33.786594,-118.29866200000001,Arcadia,CA,Los Angeles,Arcadia,"$80,166 "
91010.0,33.786594,-118.29866200000001,Duarte,CA,Los Angeles,"Azusa, Bradbury, Duarte, Irwindale, Monrovia","$72,381 "
91011.0,33.786594,-118.29866200000001,La Canada Flintridge,CA,Los Angeles,La Cañada Flintridge,"$161,450 "
91016.0,33.786594,-118.29866200000001,Monrovia,CA,Los Angeles,Monrovia,"$74,076 "
91020.0,33.786594,-118.29866200000001,Montrose,CA,Los Angeles,Montrose,"$73,839 "
91024.0,33.786594,-118.29866200000001,Sierra Madre,CA,Los Angeles,Sierra Madre,"$96,630 "
91030.0,33.786594,-118.29866200000001,South Pasadena,CA,Los Angeles,South Pasadena,"$96,692 "
91040.0,33.786594,-118.29866200000001,Sunland,CA,Los Angeles,"Los Angeles (Shadow Hills, Sunland)","$81,940 "
91042.0,33.786594,-118.29866200000001,Tujunga,CA,Los Angeles,Los Angeles (Tujunga),"$55,507 "
91046.0,33.786594,-118.29866200000001,Verdugo City,CA,Los Angeles,Glendale (Verdugo City),"$28,125 "
91101.0,33.786594,-118.29866200000001,Pasadena,CA,Los Angeles,Pasadena,"$65,592 "
91103.0,33.786594,-118.29866200000001,Pasadena,CA,Los Angeles,Pasadena,"$69,059 "
91104.0,33.786594,-118.29866200000001,Pasadena,CA,Los Angeles,Pasadena,"$74,011 "
91105.0,33.786594,-118.29866200000001,Pasadena,CA,Los Angeles,Pasadena,"$122,917 "
91106.0,33.786594,-118.29866200000001,Pasadena,CA,Los Angeles,Pasadena,"$80,291 "
91107.0,33.786594,-118.29866200000001,Pasadena,CA,Los Angeles,Pasadena,"$95,630 "
91108.0,33.786594,-118.29866200000001,San Marino,CA,Los Angeles,San Marino,"$158,884 "
91201.0,33.786594,-118.29866200000001,Glendale,CA,Los Angeles,Glendale,"$58,004 "
91202.0,33.786594,-118.29866200000001,Glendale,CA,Los Angeles,Glendale,"$70,841 "
91203.0,33.786594,-118.29866200000001,Glendale,CA,Los Angeles,Glendale,"$55,783 "
